;Villeray;Crémazie;François-Perrault;Gabriel-Sagard;Parc-Extension;Parc-Jarry;René-Goupil;Sainte-Lucie;African;Café;East Asian;Fast Food;French;Iberian;Italian;Latin;Mediterranean;Middle Eastern;Pizza;South Asian;South-East Asian
Villeray;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
Crémazie;;x;;;;;;;x;x;x;x;x;x;x;x;;x;x;;x
François-Perrault;;;x;;;;;;x;x;x;x;;x;;x;x;x;x;;x
Gabriel-Sagard;;;;x;;;;;;x;x;x;x;;x;x;x;x;;;x
Parc-Extension;;;;;x;;;;;x;;x;x;x;;x;x;x;x;x;x
Parc-Jarry;;;;;;x;;;x;x;x;x;x;x;x;x;;x;x;x;x
René-Goupil;;;;;;;x;;;;;;;;;x;;x;x;;
Sainte-Lucie;;;;;;;;x;x;x;x;x;x;;x;x;;x;;x;x
African;;;;;;;;;x;;;;;;;;;;;;
Café;;;;;;;;;;x;;;;;;;;;;;
East Asian;;;;;;;;;;;x;;;;;;;;;;
Fast Food;;;;;;;;;;;;x;;;;;;;;;
French;;;;;;;;;;;;;x;;;;;;;;
Iberian;;;;;;;;;;;;;;x;;;;;;;
Italian;;;;;;;;;;;;;;;x;;;;;;
Latin;;;;;;;;;;;;;;;;x;;;;;
Mediterranean;;;;;;;;;;;;;;;;;x;;;;
Middle Eastern;;;;;;;;;;;;;;;;;;x;;;
Pizza;;;;;;;;;;;;;;;;;;;x;;
South Asian;;;;;;;;;;;;;;;;;;;;x;
South-East Asian;;;;;;;;;;;;;;;;;;;;;x
